Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Dingle,Munkedals kommun,941,117,804,T4324
Dingtuna,Västerås kommun,1 024,105,975,T6208
Diseröd,Kungälvs kommun,1 381,122,1 132,T4328
Diö,Älmhults kommun,892,140,637,T1832
Djupekås,Sölvesborgs kommun,193,32,603,T2610
Djura,Leksands kommun,384,126,305,T6476
Djurås,Gagnefs kommun,2 177,390,558,T6484
Djurö,Värmdö kommun,1 521,643,237,T0136
Djurön,Norrköpings kommun,306,56,546,T1058
Docksta,Kramfors kommun,373,106,352,T7448
Domsten,Helsingborgs kommun,611,50,1 222,T3384
Donsö,Göteborgs kommun,1 551,105,1 477,T4332
Dorotea,Dorotea kommun,1 320,204,647,T8168
Drag,Kalmar kommun,561,154,364,T2422
Drottningholm,Ekerö kommun,322,52,619,T0140
Drottningskär,Karlskrona kommun,509,237,215,T2612
Drängsmark,Skellefteå kommun,335,63,532,T8340
Dunö,Kalmar kommun,435,60,725,T2154
Duvesjön,Kungälvs kommun,307,47,653,T4562
Dvärsätt,Krokoms kommun,779,131,595,T7824
Dyvelsten,Forshaga kommun,249,46,541,T5634
Dösjebro,Kävlinge kommun,936,70,1 337,T3388
Ed,Dals-Eds kommun,3 007,354,849,T4796
Eda glasbruk,Eda kommun,226,91,248,T5636
Edane,Arvika kommun,671,176,381,T5640
Edeby,Knivsta kommun,255,57,447,T0658
Edsbro,Norrtälje kommun,591,152,389,T0144
Edsbruk,Västerviks kommun,303,72,421,T2156
Edsbyn,Ovanåkers kommun,4 336,523,829,T7044
Edsgatan och Långenäs,Karlstads kommun,712,130,548,T5648
Edsvalla,Karlstads kommun,707,81,873,T5652
Edsvalla Övre bruket,Karlstads kommun,245,33,742,T5654
Eggby,Skara kommun,222,48,463,T5216
Ekeby,Ekerö kommun,210,123,171,T0452
Ekeby,Södertälje kommun,1 000,64,1 563,T0148
Ekeby,Bjuvs kommun,3 319,385,862,T3392
Ekeby,Kumla kommun,594,138,430,T5920
Ekeby-Almby,Örebro kommun,2 148,202,1 063,T5924
Ekedalen,Tidaholms kommun,483,73,662,T5220
Ekenhaga,Värnamo kommun,220,20,1 100,T1754
Ekenässjön,Vetlanda kommun,1 537,199,772,T1456
Ekerö,Ekerö kommun,12 358,617,2 003,T0150
Ekerö sommarstad,Ekerö kommun,594,94,632,T0151
Eket,Örkelljunga kommun,434,101,430,T2856
Ekshärad,Hagfors kommun,949,157,605,T5724
Eksjö,Eksjö kommun,10 864,822,1 322,T1460
Ekskogen,Vallentuna kommun,263,62,424,T0146
Ekskogen Älgeby och Långsjötorp,Vallentuna kommun,347,215,161,T0142
Eksund,Norrköpings kommun,499,72,693,T1046
Ekängen,Linköpings kommun,2 698,177,1 524,T1050
Eldsberga,Halmstads kommun,771,105,734,T3916
Ellös,Orusts kommun,1 078,229,471,T4336
Emmaboda,Emmaboda kommun,5 054,588,860,T2160
Emmaljunga,Hässleholms kommun,313,92,340,T2860
Emsfors,Oskarshamns kommun,317,70,453,T2164
Emtunga,Vara kommun,302,40,755,T5224
Enbacka,Säters kommun,1 566,207,757,T6492
Eneryda,Älmhults kommun,330,67,493,T1840
Enhagen-Ekbacken,Västerås kommun,1 089,75,1 452,T6210
Enköping,Enköpings kommun,25 021,1 126,2 222,T0532
Enstaberga,Nyköpings kommun,441,59,748,T0736
Enviken,Falu kommun,897,329,273,T6496
Enånger,Hudiksvalls kommun,607,160,379,T7048
Eriksmåla,Emmaboda kommun,198,93,213,T2168
Eringsboda,Ronneby kommun,300,77,390,T2616
Ersmark,Umeå kommun,1 605,147,1 092,T8368
Ersmark,Skellefteå kommun,822,123,668,T8172
Ersnäs,Luleå kommun,492,152,324,T8576
Eskilsby och Snugga,Härryda kommun,260,87,299,T4334
Eskilstuna,Eskilstuna kommun,70 342,2 992,2 351,T0740
Eslöv,Eslövs kommun,19 783,946,2 091,T3396
Evertsberg,Älvdalens kommun,240,137,175,T6500
Everöd,Kristianstads kommun,916,153,599,T2864
Fagerfjäll,Tjörns kommun,217,119,182,T4326
Fagerhult,Habo kommun,322,65,495,T5228
Fagerhult,Högsby kommun,184,86,214,T2172
Fagerhult,Uddevalla kommun,456,108,422,T4338
Fagersanna,Tibro kommun,683,200,342,T5232
Fagersta,Fagersta kommun,11 780,727,1 620,T6212
Fagerås,Kils kommun,455,72,632,T5656
Falerum,Åtvidabergs kommun,232,78,297,T1048
Falkenberg,Falkenbergs kommun,28 357,2 201,1 288,T3920
Falköping,Falköpings kommun,17 858,916,1 950,T5236
Falla,Finspångs kommun,447,65,688,T1052
Falun,Falu kommun,38 749,2 526,1 534,T6504
Farhult,Höganäs kommun,363,103,352,T2866
Fegen,Falkenbergs kommun,242,70,346,T3924
Fellingsbro,Lindesbergs kommun,1 432,214,669,T5928
Fengersfors,Åmåls kommun,303,78,389,T4800
Figeholm,Oskarshamns kommun,824,107,770,T2176
Filipstad,Filipstads kommun,6 248,599,1 043,T5660
Filsbäck,Lidköpings kommun,667,107,623,T5240
Finja,Hässleholms kommun,565,129,438,T2868
Finkarby,Nykvarns kommun,207,59,351,T0158
Finnerödja,Laxå kommun,523,112,467,T5932
Finspång,Finspångs kommun,13 261,788,1 683,T1056
Finsta,Norrtälje kommun,248,44,564,T0164
Fiskebäckskil,Lysekils kommun,248,72,344,T4340
Fisksätra,Nacka kommun,7 943,101,7 864,T0156
Fjugesta,Lekebergs kommun,2 404,229,1 050,T5936
Fjälkinge,Kristianstads kommun,1 860,187,995,T2872
Fjällastorp,Bollebygds kommun,251,77,326,T5538
Fjällbacka,Tanums kommun,819,168,488,T4344
Fjärdhundra,Enköpings kommun,932,112,832,T0536
Fjärås kyrkby,Kungsbacka kommun,2 509,206,1 218,T3928
Fjärås station,Kungsbacka kommun,214,70,306,T3930
Flen,Flens kommun,6 577,439,1 498,T0744
Fleninge,Helsingborgs kommun,221,53,417,T2870
Flerohopp,Nybro kommun,200,51,392,T2184
Flisby,Nässjö kommun,209,65,322,T1464
Fliseryd,Mönsterås kommun,716,138,519,T2188
Floby,Falköpings kommun,1 593,223,714,T5244
Flurkmark,Umeå kommun,224,45,498,T8174
Flygsfors,Nybro kommun,225,61,369,T2192
Flyinge,Eslövs kommun,1 012,94,1 077,T3400
Flyksnäs,Marks kommun,210,57,368,T5540
Flädie,Lomma kommun,244,39,626,T3402
Folkärna,Avesta kommun,283,138,205,T6462
Fornåsa,Motala kommun,431,59,731,T1060
Fors,Avesta kommun,754,142,531,T6508
Forsbacka,Gävle kommun,1 759,186,946,T7052
Forserum,Nässjö kommun,2 097,194,1 081,T1468
Forshaga,Forshaga kommun,6 448,548,1 177,T5664
Forsheda,Värnamo kommun,1 460,171,854,T1472
Forssjö,Katrineholms kommun,598,53,1 128,T0748
Forsvik,Karlsborgs kommun,323,83,389,T5248
Fotö,Öckerö kommun,621,43,1 444,T4348
Fredriksberg,Ludvika kommun,314,75,419,T6512
Fredriksberg östra,Ludvika kommun,278,66,421,T6514
Fredriksdal,Nässjö kommun,306,62,494,T1476
Fredriksfors,Hudiksvalls kommun,195,91,214,T7054
Freluga,Bollnäs kommun,200,62,323,T7058
Fridlevstad,Karlskrona kommun,685,110,623,T2620
Friggesund,Hudiksvalls kommun,530,76,697,T7056
Frillesås,Kungsbacka kommun,3 285,481,683,T3932
Frinnaryd,Aneby kommun,228,56,407,T1480
Fristad,Borås kommun,5 833,762,766,T4808
Fritsla,Marks kommun,2 434,319,763,T4812
Frostkåge,Skellefteå kommun,219,74,296,T8414
Frufällan,Borås kommun,1 276,191,668,T4816
Främmestad,Essunga kommun,371,70,530,T5250
Frändefors,Vänersborgs kommun,628,100,628,T4820
Fränsta,Ånge kommun,2 028,609,333,T7472
Frödinge,Vimmerby kommun,302,69,438,T2196
Frösakull,Halmstads kommun,2 699,402,671,T3934
Frövi,Lindesbergs kommun,2 559,252,1 016,T5940
