Tätort,Kommun,Folkmängd(31 dec 2020),Landareal(hektar),Täthet(inv./km²),Tätorts-kod
Sveg,Härjedalens kommun,2 509,326,770,T7968
Svenljunga,Svenljunga kommun,3 774,449,841,T5060
Svensbyn,Piteå kommun,329,61,539,T8876
Svenshögen,Stenungsunds kommun,403,56,720,T4598
Svenstavik,Bergs kommun,1 018,161,632,T7976
Svenstorp,Ängelholms kommun,254,37,687,T3102
Svinninge,Österåkers kommun,2 816,571,493,T0350
Svängsta,Karlshamns kommun,2 022,244,829,T2748
Svärdsjö,Falu kommun,1 333,227,587,T6776
Svärtinge,Norrköpings kommun,3 622,484,748,T1276
Sya,Mjölby kommun,294,36,817,T1280
Sysslebäck,Torsby kommun,429,181,237,T5836
Sågmyra,Falu kommun,631,158,399,T6780
Säffle,Säffle kommun,9 241,817,1 131,T5840
Sälen,Malung-Sälens kommun,843,241,350,T6784
Sälgsjön,Gävle kommun,210,33,636,T7308
Sänna,Askersunds kommun,200,54,370,T6144
Särna,Älvdalens kommun,684,303,226,T6788
Säter,Säters kommun,4 721,479,986,T6792
Sätila,Marks kommun,1 162,141,824,T5064
Sätinge,Kungsbacka kommun,354,119,298,T4110
Sätra brunn,Sala kommun,324,80,405,T6336
Sävar,Umeå kommun,3 050,328,930,T8336
Sävast,Bodens kommun,3 447,422,817,T8878
Säve,Göteborgs kommun,715,69,1 036,T4596
Sävja,Uppsala kommun,9 814,389,2 523,T0632
Sävsjö,Sävsjö kommun,5 605,473,1 185,T1688
Söderby,Ekerö kommun,279,73,382,T0362
Söderby,Haninge kommun,429,190,226,T0430
Söderby-Karl,Norrtälje kommun,286,84,341,T0352
Söderbärke,Smedjebackens kommun,1 000,307,326,T6796
Söderfors,Tierps kommun,1 750,224,781,T0636
Söderhamn,Söderhamns kommun,12 213,946,1 291,T7316
Söderköping,Söderköpings kommun,7 539,507,1 487,T1284
Söderskogen,Håbo kommun,381,54,706,T0638
Södersvik,Norrtälje kommun,438,299,147,T0354
Södertälje,Södertälje kommun,75 773,2 851,2 658,T0356
Söderåkra,Torsås kommun,934,160,584,T2416
Södra Bergsbyn och Stackgrönnan,Skellefteå kommun,377,77,490,T8342
Södra Sandby,Lunds kommun,6 572,446,1 474,T3732
Södra Sunderbyn,Luleå kommun,3 085,231,1 336,T8880
Södra Vi,Vimmerby kommun,1 162,156,745,T2420
Sölvesborg,Sölvesborgs kommun,8 828,724,1 219,T2752
Sörfors,Umeå kommun,495,114,434,T8344
Sörforsa,Hudiksvalls kommun,1 522,223,683,T7320
Sörmjöle,Umeå kommun,301,68,443,T8348
Sörstafors,Hallstahammars kommun,277,39,710,T6340
Sörvik,Ludvika kommun,687,132,521,T6804
Söråker,Timrå kommun,2 414,532,454,T7700
Sösdala,Hässleholms kommun,1 911,220,869,T3104
Sövde,Sjöbo kommun,369,75,492,T3738
Sövestad,Ystads kommun,366,52,704,T3740
Taberg,Jönköpings kommun,4 507,390,1 156,T1692
Tallboda,Linköpings kommun,3 334,349,955,T1288
Tallvik,Överkalix kommun,485,103,471,T8884
Tallåsen,Ljusdals kommun,583,160,364,T7324
Tandsbyn,Östersunds kommun,443,137,323,T7984
Tanumshede,Tanums kommun,2 040,210,971,T4600
Tavelsjö,Umeå kommun,472,76,621,T8352
Teckomatorp,Svalövs kommun,1 866,129,1 447,T3744
Tenhult,Jönköpings kommun,3 150,252,1 250,T1696
Tibro,Tibro kommun,8 614,791,1 089,T5456
Tidaholm,Tidaholms kommun,8 146,617,1 320,T5460
Tidan,Skövde kommun,982,144,682,T5464
Tidö-Lindö,Västerås kommun,726,106,685,T6342
Tierp,Tierps kommun,6 260,444,1 410,T0640
Tillberga,Västerås kommun,2 081,157,1 326,T6344
Timmele,Ulricehamns kommun,772,119,649,T5068
Timmernabben,Mönsterås kommun,1 383,195,709,T2424
Timmersdala,Skövde kommun,943,118,799,T5468
Timrå,Timrå kommun,10 494,991,1 059,T7704
Tingsryd,Tingsryds kommun,3 197,418,765,T1992
Tingstäde,Region Gotland,236,76,311,T2542
Tjautjas,Gällivare kommun,240,68,353,T8886
Tjuvkil,Kungälvs kommun,1 199,331,362,T4604
Tjällmo,Motala kommun,503,77,653,T1292
Tjörnarp,Höörs kommun,896,277,324,T3748
Toarp och Tåstarp,Ängelholms kommun,225,63,357,T3132
Tobo,Tierps kommun,673,103,653,T0648
Tofta,Region Gotland,832,554,150,T2544
Tofta,Varbergs kommun,497,153,325,T4112
Toftbyn,Falu kommun,285,153,186,T6814
Tollarp,Kristianstads kommun,3 449,436,791,T3108
Tollered,Lerums kommun,871,75,1 161,T5072
Tomelilla,Tomelilla kommun,7 171,644,1 114,T3112
Tomtebo,Umeå kommun,1 228,51,2 408,T8354
Torbjörntorp,Falköpings kommun,457,89,514,T5472
Torekov,Båstads kommun,1 089,438,249,T3116
Torestorp,Marks kommun,406,75,541,T5076
Torhamn,Karlskrona kommun,553,238,232,T2760
Tormestorp,Hässleholms kommun,1 051,125,841,T3120
Torna Hällestad,Lunds kommun,747,80,934,T3480
Torpsbruk,Alvesta kommun,346,65,532,T1996
Torpshammar,Ånge kommun,443,216,205,T7708
Torreby,Munkedals kommun,260,56,464,T4554
Torsby,Torsby kommun,4 440,719,618,T5844
Torshälla,Eskilstuna kommun,9 421,933,1 010,T0880
Torskog och Svenseröd,Lilla Edets kommun,237,148,160,T5548
Torslanda,Göteborgs kommun,22 836,1 723,1 325,T4524
Torsåker,Hofors kommun,890,133,669,T7332
Torsång,Borlänge kommun,833,127,656,T6806
Torsås,Torsås kommun,2 042,313,652,T2428
Tortuna,Västerås kommun,415,58,716,T6348
Torup,Hylte kommun,1 274,154,827,T4116
Totebo,Västerviks kommun,221,48,460,T2432
Tranemo,Tranemo kommun,3 323,342,972,T5080
Tranholmen,Danderyds kommun,427,38,1 124,T0368
Transtrand,Malung-Sälens kommun,369,239,154,T6808
Tranås,Tranås kommun,14 774,1 019,1 450,T1700
Traryd,Markaryds kommun,751,164,458,T2000
Trekanten,Kalmar kommun,1 579,271,583,T2436
Trelleborg,Trelleborgs kommun,30 760,1 577,1 951,T3752
Trollhättan,Trollhättans kommun,50 374,2 601,1 937,T5084
Trosa,Trosa kommun,7 089,660,1 074,T0884
Trummenäs,Karlskrona kommun,403,74,545,T2780
Trångfors,Bodens kommun,1 839,272,676,T8888
Trångsviken,Krokoms kommun,266,56,475,T7988
Tråvad,Vara kommun,477,91,524,T5476
Trädet,Ulricehamns kommun,279,67,416,T5088
Trödje,Gävle kommun,361,93,388,T7340
Trönninge,Halmstads kommun,1 645,144,1 142,T4124
Tumba,Botkyrka kommun,42 873,1 951,2 198,T0372
Tumbo,Eskilstuna kommun,343,66,520,T0886
Tumlehed,Göteborgs kommun,854,141,606,T4510
Tuna,Södertälje kommun,411,89,462,T0374
Tuna,Vimmerby kommun,240,41,585,T2440
Tuna,Landskrona kommun,353,161,219,T3126
Tunnerstad,Jönköpings kommun,291,110,265,T1708
Tuolluvaara,Kiruna kommun,975,68,1 434,T8890
Tureholm,Ekerö kommun,1 097,329,333,T0378
Turinge och Vidbynäs,Nykvarns kommun,305,61,500,T0468
Tving,Karlskrona kommun,533,169,315,T2764
Tvååker,Varbergs kommun,2 930,286,1 025,T4132
Tvärskog,Kalmar kommun,391,79,495,T2444
Tvärålund,Vindelns kommun,337,109,309,T8356
Tye,Hammarö kommun,307,84,366,T5850
Tygelsjö,Malmö kommun,3 582,183,1 957,T3756
Tynningö,Vaxholms kommun,353,459,77,T0432
Tyringe,Hässleholms kommun,4 838,434,1 115,T3128
Tystberga,Nyköpings kommun,895,107,836,T0888
Tågarp,Svalövs kommun,460,54,852,T3760
Tånga och Rögle,Helsingborgs kommun,242,69,351,T3764
Tångaberg,Varbergs kommun,1 078,217,497,T4136
Täfteå,Umeå kommun,1 379,157,878,T8360
Täljö,Österåkers kommun,476,109,437,T0290
Tällberg,Leksands kommun,867,550,158,T6816
Tärnaby,Storumans kommun,468,159,294,T8364
Tärnsjö,Heby kommun,1 168,174,671,T6352
Tävelsås,Växjö kommun,354,62,571,T2002
Töcksfors,Årjängs kommun,1 265,219,578,T5848
Töllsjö,Bollebygds kommun,415,71,585,T5092
Töre,Kalix kommun,1 000,218,459,T8896
Töreboda,Töreboda kommun,4 723,409,1 155,T5484
Törestorp,Gnosjö kommun,274,84,326,T1714
Tösse,Åmåls kommun,327,60,545,T5096
Ubbhult norra,Marks kommun,209,61,343,T4450
Ucklum,Stenungsunds kommun,640,122,525,T4606
Uddebo,Tranemo kommun,271,64,423,T5100
Uddeholm,Hagfors kommun,592,145,408,T5852
Udden,Eskilstuna kommun,361,129,280,T0892
Uddevalla,Uddevalla kommun,35 916,1 964,1 829,T4608
Uddheden,Sunne kommun,286,75,381,T5856
Ullared,Falkenbergs kommun,748,115,650,T4140
Ullervad,Mariestads kommun,877,124,707,T5488
Ullånger,Kramfors kommun,761,194,392,T7680
Ulricehamn,Ulricehamns kommun,11 399,747,1 526,T5104
Ultuna,Uppsala kommun,1 879,124,1 515,T0654
Ulvkälla,Härjedalens kommun,390,75,520,T7996
Ulvåker,Skövde kommun,262,43,609,T5492
Umeå,Umeå kommun,90 412,3 180,2 843,T8372
Unbyn,Bodens kommun,448,94,477,T8902
Undenäs,Karlsborgs kommun,214,76,282,T5496
Undersåker,Åre kommun,650,152,428,T8000
Unnaryd,Hylte kommun,781,153,511,T4144
Upphärad,Trollhättans kommun,552,77,717,T5108
Upplanda,Tierps kommun,223,77,290,T0652
Upplands Väsby och Sollentuna,Sollentuna kommun,149 461,4 687,3 189,T0384
Uppsala,Uppsala kommun,165 456,4 301,3 847,T0656
Urshult,Tingsryds kommun,967,220,440,T2004
Ursviken,Skellefteå kommun,3 820,333,1 147,T8310
Utby,Uddevalla kommun,472,94,502,T5106
Utvälinge,Helsingborgs kommun,236,33,715,T3766
Vad,Smedjebackens kommun,300,86,349,T6820
"Vad, Åsbacka och Långrör",Söderhamns kommun,260,91,286,T7378
Vadstena,Vadstena kommun,5 714,368,1 553,T1300
Vaggeryd,Vaggeryds kommun,5 556,515,1 079,T1720
Vagnhärad,Trosa kommun,3 929,310,1 267,T0896
Valbo,Gävle kommun,6 765,666,1 016,T7344
Valdemarsvik,Valdemarsviks kommun,2 747,264,1 041,T1304
Valinge,Varbergs kommun,270,108,250,T4154
Valje,Bromölla kommun,1 069,166,644,T3136
Valla,Katrineholms kommun,1 475,131,1 126,T0900
Vallargärdet,Karlstads kommun,591,126,469,T5860
Vallberga,Laholms kommun,736,82,898,T4148
Vallda,Kungsbacka kommun,3 933,564,697,T4152
Vallentuna,Vallentuna kommun,33 336,1 756,1 898,T0388
Vallkärra,Lunds kommun,415,43,965,T3768
Vallsta,Bollnäs kommun,268,65,412,T7348
Vallvik,Söderhamns kommun,233,96,243,T7352
Vallåkra,Helsingborgs kommun,805,135,596,T3772
Valskog,Kungsörs kommun,695,78,891,T6360
Valåsen och Labbsand,Karlskoga kommun,354,145,244,T6146
Vankiva,Hässleholms kommun,387,86,450,T3140
Vannsätter,Söderhamns kommun,362,99,366,T7356
Vansbro,Vansbro kommun,1 724,273,632,T6828
Vaplan,Krokoms kommun,262,57,460,T8002
Vara,Vara kommun,4 417,339,1 303,T5500
Varberg,Varbergs kommun,36 019,2 461,1 464,T4156
Varekil,Orusts kommun,941,157,599,T4610
Vargön,Vänersborgs kommun,5 000,401,1 247,T5112
Varnhem,Skara kommun,667,70,953,T5504
Vartofta,Falköpings kommun,532,74,719,T5508
Vassmolösa,Kalmar kommun,528,124,426,T2452
Vattholma,Uppsala kommun,1 376,113,1 218,T0660
Vattjom,Sundsvalls kommun,535,134,399,T7726
Vattubrinken,Södertälje kommun,396,94,421,T0390
Vaxholm,Vaxholms kommun,5 135,179,2 869,T0392
Veberöd,Lunds kommun,5 573,409,1 363,T3776
Veddige,Varbergs kommun,2 346,200,1 173,T4160
Vedevåg,Lindesbergs kommun,674,142,475,T6148
Vedum,Vara kommun,986,138,715,T5512
Vegby,Ulricehamns kommun,597,97,616,T5116
Veinge,Laholms kommun,1 519,205,741,T4164
Velanda,Trollhättans kommun,783,102,768,T5038
Vellinge,Vellinge kommun,6 878,353,1 948,T3780
Vemdalen,Härjedalens kommun,612,380,161,T8008
Vena,Hultsfreds kommun,386,88,439,T2456
Venjan,Mora kommun,217,213,102,T6836
Venngarn,Sigtuna kommun,415,29,1 431,T0470
Vessigebro,Falkenbergs kommun,836,128,653,T4168
Vetlanda,Vetlanda kommun,13 674,1 103,1 240,T1724
Vi,Sundsvalls kommun,5 862,636,922,T7404
Vibble,Region Gotland,1 802,360,501,T2548
Viby,Kristianstads kommun,1 204,177,680,T3148
Vibyäng,Håbo kommun,484,20,2 420,T0522
Vickleby,Mörbylånga kommun,456,148,308,T2458
Vidja,Huddinge kommun,882,191,462,T0394
Vidsel,Älvsbyns kommun,471,100,471,T8904
Vidöåsen,Hammarö kommun,290,26,1 115,T5862
Viforsen och Tunbyn,Sundsvalls kommun,212,78,272,T7714
Vik,Simrishamns kommun,342,87,393,T3152
Vika,Falu kommun,565,106,533,T6840
Vikarbodarna och Skatan,Sundsvalls kommun,259,121,214,T7646
Vikarbyn,Rättviks kommun,1 182,341,347,T6848
Viken,Höganäs kommun,4 606,302,1 525,T3784
Vikingstad,Linköpings kommun,2 423,174,1 393,T1308
Vikmanshyttan,Hedemora kommun,890,145,614,T6852
Viksjöfors,Ovanåkers kommun,257,88,292,T7360
Viksäter,Södertälje kommun,936,155,604,T0398
Vilhelmina,Vilhelmina kommun,3 356,327,1 026,T8376
Villshärad,Halmstads kommun,743,129,576,T4176
Vilshult,Olofströms kommun,304,104,292,T2772
Vimmerby,Vimmerby kommun,8 182,738,1 109,T2460
Vinberg,Falkenbergs kommun,654,59,1 109,T4180
Vinbergs kyrkby,Falkenbergs kommun,268,149,180,T4182
Vindeln,Vindelns kommun,2 502,272,920,T8380
Vindön,Orusts kommun,212,170,125,T4644
Vingåker,Vingåkers kommun,4 741,413,1 148,T0904
Vinninga,Lidköpings kommun,1 055,110,959,T5516
Vinslöv,Hässleholms kommun,4 114,483,852,T3160
Vintrie,Malmö kommun,790,46,1 717,T3788
Vintrosa,Lekebergs kommun,2 918,459,636,T6152
Vinäs,Mora kommun,322,103,313,T6860
Virsbo,Surahammars kommun,1 319,122,1 081,T6364
Virserum,Hultsfreds kommun,1 844,297,621,T2464
Visby,Region Gotland,24 942,1 380,1 807,T2552
Viskafors,Borås kommun,3 683,397,928,T5120
Vislanda,Alvesta kommun,1 831,249,735,T2012
Vissefjärda,Emmaboda kommun,643,104,618,T2468
Vistträsk,Älvsbyns kommun,211,49,431,T8908
Vitaby,Simrishamns kommun,344,122,282,T3164
Vittangi,Kiruna kommun,760,180,422,T8912
Vittaryd,Ljungby kommun,326,78,418,T2016
Vittinge,Heby kommun,603,126,479,T6368
Vittjärv,Bodens kommun,530,130,408,T8916
Vittsjö,Hässleholms kommun,1 796,326,551,T3168
Vittskövle,Kristianstads kommun,239,59,405,T3170
Vollsjö,Sjöbo kommun,843,148,570,T3792
Vrena,Nyköpings kommun,643,112,574,T0908
Vretstorp,Hallsbergs kommun,898,164,548,T6156
Vrigstad,Sävsjö kommun,1 509,215,702,T1728
Vrångö,Göteborgs kommun,377,48,785,T4612
Vuollerim,Jokkmokks kommun,623,144,433,T8920
Vålberg,Karlstads kommun,2 812,295,953,T5864
Våmhus,Mora kommun,815,229,356,T6864
Vånga,Norrköpings kommun,216,37,584,T1310
Vånga,Kristianstads kommun,259,112,231,T3174
Vångelsta,Uppsala kommun,298,18,1 656,T0696
Vårgårda,Vårgårda kommun,5 825,514,1 133,T5124
Vårsta,Botkyrka kommun,2 601,150,1 734,T0396
Våxtorp,Laholms kommun,1 019,159,641,T4184
Väckelsång,Tingsryds kommun,979,143,685,T2020
Väderstad,Mjölby kommun,569,119,478,T1316
Väggarp,Eslövs kommun,253,30,843,T3830
Väländan,Haninge kommun,557,163,342,T0402
Vänersborg,Vänersborgs kommun,24 112,1 166,2 068,T5132
Väne-Åsaka,Trollhättans kommun,373,61,612,T5128
Vänge,Uppsala kommun,1 276,90,1 418,T0516
Vännäs,Vännäs kommun,4 567,410,1 114,T8384
Vännäsby,Vännäs kommun,1 747,206,848,T8388
Väring,Skövde kommun,651,126,517,T5520
Värnamo,Värnamo kommun,19 778,1 194,1 656,T1732
Värsås,Skövde kommun,567,74,766,T5524
Väröbacka,Varbergs kommun,863,150,575,T4188
Väse,Karlstads kommun,539,71,759,T5872
Väskinde,Region Gotland,347,45,771,T2556
Västanvik,Leksands kommun,513,237,217,T6872
Västerberg,Sandvikens kommun,213,75,284,T7364
Västerby,Hedemora kommun,391,71,551,T6880
Västerfärnebo,Sala kommun,421,68,619,T6372
Västerhaninge,Haninge kommun,19 100,1 080,1 769,T0404
Västerhejde,Region Gotland,502,89,564,T2560
Västerljung,Trosa kommun,388,43,902,T0910
Västerlösa,Linköpings kommun,232,43,540,T1318
Västermyckeläng,Älvdalens kommun,384,172,223,T6884
Västervik,Västerviks kommun,21 428,1 313,1 632,T2472
Västerås,Västerås kommun,128 534,4 993,2 574,T6376
Västra Bispgården,Ragunda kommun,461,113,408,T7808
Västra Bodarna,Alingsås kommun,1 356,297,457,T5136
Västra Hagen,Kungsbacka kommun,1 376,286,481,T4224
Västra Husby,Söderköpings kommun,508,54,941,T1320
Västra Ingelstad,Vellinge kommun,1 034,98,1 055,T3800
Västra Karaby,Kävlinge kommun,273,62,440,T3802
Västra Karup,Båstads kommun,592,146,406,T3172
Västra Tommarp,Trelleborgs kommun,418,34,1 229,T3806
Västra Torup,Hässleholms kommun,211,63,335,T3176
Västra Ämtervik,Sunne kommun,375,117,321,T5876
Växjö,Växjö kommun,71 009,3 618,1 963,T2024
Yngsjö,Kristianstads kommun,717,327,219,T3180
Ysane,Sölvesborgs kommun,218,56,389,T2774
Ysby,Laholms kommun,262,48,546,T4190
Ystad,Ystads kommun,20 133,1 093,1 842,T3808
Ytterby,Kungälvs kommun,6 384,387,1 650,T4453
Ytterhogdal,Härjedalens kommun,461,229,201,T8012
Ytternäs och Vreta,Uppsala kommun,792,152,521,T0662
Yttersjö,Umeå kommun,518,108,480,T8394
Ytterstad,Lerums kommun,243,66,368,T5550
Zinkgruvan,Askersunds kommun,353,172,205,T6160
Åby,Norrköpings kommun,7 157,528,1 356,T1324
Åby,Växjö kommun,418,60,697,T2028
Åbyggeby,Gävle kommun,1 011,235,430,T7368
Åbytorp,Kumla kommun,833,143,583,T6164
Åhus,Kristianstads kommun,10 412,1 162,896,T3184
Åkarp,Burlövs kommun,6 324,264,2 396,T3812
Åkers styckebruk,Strängnäs kommun,2 993,281,1 065,T0912
Åkersberga,Österåkers kommun,35 725,2 531,1 412,T0408
Ålberga,Nyköpings kommun,219,41,534,T0916
Åled,Halmstads kommun,1 786,202,884,T4192
Åminne,Värnamo kommun,219,38,576,T1736
Åmmeberg,Askersunds kommun,459,204,225,T6168
Åmot,Ockelbo kommun,210,98,214,T7372
Åmotfors,Eda kommun,1 366,210,651,T5880
Åmunnen,Kalmar kommun,353,38,929,T2482
Åmynnet,Örnsköldsviks kommun,316,40,790,T7732
Åmål,Åmåls kommun,9 265,744,1 245,T5140
Ånge,Ånge kommun,2 769,380,729,T7736
Ånäset,Robertsfors kommun,590,138,428,T8396
Åre,Åre kommun,3 430,649,529,T8024
Årjäng,Årjängs kommun,3 417,460,743,T5884
Årnäs,Varbergs kommun,730,354,206,T4194
Årsta havsbad,Haninge kommun,513,151,340,T0434
Årstad,Falkenbergs kommun,280,35,800,T4196
Årsunda,Sandvikens kommun,1 054,159,663,T7376
Åryd,Växjö kommun,676,81,835,T2032
Åryd,Karlshamns kommun,318,76,418,T2776
Ås,Nora kommun,492,72,683,T6176
Ås,Krokoms kommun,1 462,279,524,T8028
Åsa,Kungsbacka kommun,6 479,906,715,T4200
Åsarna,Bergs kommun,254,61,416,T8032
Åsarp,Falköpings kommun,607,105,578,T5532
Åsbro,Askersunds kommun,1 453,348,418,T6172
Åsby,Varbergs kommun,507,103,492,T4204
Åseda,Uppvidinge kommun,2 698,302,893,T2036
Åsele,Åsele kommun,1 678,227,739,T8400
Åsen,Älvdalens kommun,198,73,271,T6892
Åsensbruk,Melleruds kommun,699,167,419,T5144
Åshammar,Sandvikens kommun,674,161,419,T7380
Åsljunga,Örkelljunga kommun,798,177,451,T3188
Åssjöns norra strand,Krokoms kommun,354,97,365,T7814
Åstorp,Åstorps kommun,10 556,777,1 359,T3192
Åtvidaberg,Åtvidabergs kommun,6 934,568,1 221,T1328
Älandsbro,Härnösands kommun,919,199,462,T7740
Älgarås,Töreboda kommun,374,90,416,T5536
Älghult,Uppvidinge kommun,457,98,466,T2040
Älgö,Nacka kommun,1 053,201,524,T0436
Älmhult,Älmhults kommun,10 894,1 000,1 089,T2048
Älmsta,Norrtälje kommun,1 532,246,623,T0412
Älvdalen,Älvdalens kommun,1 912,335,571,T6896
Älvkarleby,Älvkarleby kommun,1 490,255,584,T0664
Älvkarleö,Älvkarleby kommun,250,70,357,T0670
Älvnäs,Ekerö kommun,802,58,1 383,T0414
Älvsala,Värmdö kommun,584,456,128,T0438
Älvsbyn,Älvsbyns kommun,5 034,663,759,T8932
Älvsered,Falkenbergs kommun,441,110,401,T4212
Älvåker och Råtorp,Karlstads kommun,3 267,126,2 593,T5794
Älvängen,Ale kommun,6 163,488,1 263,T5152
Äng,Nässjö kommun,282,50,564,T1740
Änge,Krokoms kommun,351,62,566,T8040
Ängelholm,Ängelholms kommun,28 606,1 971,1 451,T3196
Ängesbyn,Luleå kommun,205,79,260,T8934
Ängsmon,Östersunds kommun,1 345,55,2 446,T8042
Ängsvik,Värmdö kommun,441,78,565,T0418
Äppelbo,Vansbro kommun,487,282,173,T6900
Ärla,Eskilstuna kommun,1 302,146,892,T0920
Äsköping,Katrineholms kommun,332,51,651,T0924
Äspered,Borås kommun,314,61,515,T5156
Äsperöd,Sjöbo kommun,262,36,728,T3816
Ätran,Falkenbergs kommun,405,65,623,T4216
Öbolandet,Trosa kommun,389,177,220,T0928
Öbonäs,Norrköpings kommun,654,193,339,T1330
Ödeborg,Färgelanda kommun,579,88,658,T5160
Ödeshög,Ödeshögs kommun,2 693,264,1 020,T1332
Ödsmål,Stenungsunds kommun,1 447,347,417,T4630
Ödsmål och Åsebyberg,Kungälvs kommun,302,80,378,T4648
Ödåkra,Helsingborgs kommun,5 807,334,1 739,T3820
Öggestorp,Jönköpings kommun,245,39,628,T1742
Öja,Växjö kommun,397,58,685,T1858
Öjersjö,Partille kommun,4 765,267,1 785,T4631
Ölmbrotorp,Örebro kommun,521,63,827,T6184
Ölme,Kristinehamns kommun,205,37,554,T5888
Ölmstad,Jönköpings kommun,434,79,549,T1448
Ölsta,Ekerö kommun,730,245,298,T0424
Önneköp,Hörby kommun,209,56,373,T3834
Önnestad,Kristianstads kommun,1 438,218,660,T3200
Örbyhus,Tierps kommun,2 247,202,1 112,T0672
Örebro,Örebro kommun,126 009,5 139,2 452,T6188
Öregrund,Östhammars kommun,1 597,419,381,T0676
Örkelljunga,Örkelljunga kommun,5 515,785,703,T3208
Örnsköldsvik,Örnsköldsviks kommun,33 346,3 920,851,T7744
Örserum,Jönköpings kommun,369,72,513,T1748
Örsjö,Nybro kommun,363,82,443,T2484
Örslösa,Lidköpings kommun,321,60,535,T5890
Örstig,Nyköpings kommun,258,34,759,T0932
Örsundsbro,Enköpings kommun,1 422,138,1 030,T0680
Örsundsbro norra,Enköpings kommun,561,36,1 558,T0682
Örtagården,Västerås kommun,474,42,1 129,T6382
Örtofta,Eslövs kommun,287,73,393,T3828
Örviken,Skellefteå kommun,419,116,361,T8408
Ösmo,Nynäshamns kommun,3 972,211,1 883,T0420
Össjö,Ängelholms kommun,218,35,623,T3210
Östad,Tanums kommun,225,34,662,T5552
Östadkulle,Vårgårda kommun,409,65,629,T5162
Östansjö,Hallsbergs kommun,834,150,556,T6192
Östanå,Sandvikens kommun,220,20,1 100,T7274
Österbybruk,Östhammars kommun,2 360,272,868,T0684
Österbymo,Ydre kommun,900,140,643,T1336
Österfärnebo,Sandvikens kommun,462,132,350,T7384
Österslöv,Kristianstads kommun,475,68,699,T3216
Österstad,Motala kommun,315,43,733,T1340
Östersund,Östersunds kommun,52 797,3 559,1 484,T8044
Östervåla,Heby kommun,1 810,217,834,T6384
Österå och Hökviken,Falu kommun,280,113,248,T6506
Östhammar,Östhammars kommun,4 977,488,1 020,T0688
Östorp och Ådran,Huddinge kommun,246,112,220,T0406
Östra Balltorp,Mölndals kommun,2 702,86,3 142,T4367
Östra Bispgården,Ragunda kommun,248,122,203,T7806
Östra Frölunda,Svenljunga kommun,329,63,522,T5164
Östra Grevie,Vellinge kommun,855,101,847,T3832
Östra Husby,Norrköpings kommun,882,126,700,T1344
Östra Karup,Båstads kommun,841,168,501,T3220
Östra Ljungby,Klippans kommun,1 876,225,834,T3224
Östra Ryd,Söderköpings kommun,465,97,479,T1348
Östra Stenåsen,Kils kommun,471,27,1 744,T5814
Östra Sönnarslöv,Kristianstads kommun,265,69,384,T3228
Östra Tommarp,Simrishamns kommun,281,71,396,T3232
Östra Vemmerlöv,Simrishamns kommun,222,75,296,T3236
Östraby,Hörby kommun,190,36,528,T3836
Överboda,Umeå kommun,253,66,383,T8412
Överhärde,Gävle kommun,552,131,421,T7388
Överkalix,Överkalix kommun,1 035,124,835,T8940
Överlida,Svenljunga kommun,498,85,586,T5168
Övermarken och Maran,Piteå kommun,386,90,429,T8950
Övertorneå,Övertorneå kommun,1 737,259,671,T8944
Övertänger,Falu kommun,237,118,201,T6916
Överum,Västerviks kommun,1 155,166,696,T2488
Öxabäck,Marks kommun,326,66,494,T5172
Öxeryd,Lerums kommun,636,111,573,T5176
